NO_REGIAO;TP_DIMENSAO;TP_CATEGORIA_ADMINISTRATIVA;QT_VG_TOTAL;QT_VG_NOVA;QT_ING;QT_CONC;QT_INSCRITO_TOTAL
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;7;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;15;3;0
Centro-Oeste;2;4;0;0;39;5;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;4;0;0
Centro-Oeste;2;4;0;0;6;0;0
Centro-Oeste;2;4;0;0;16;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;1;0
Centro-Oeste;2;4;0;0;2;1;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;5;0;0;2;0;0
Centro-Oeste;2;5;0;0;99;12;0
Centro-Oeste;2;4;0;0;3;1;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;9;2;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;5;0;0
Centro-Oeste;2;4;0;0;7;1;0
Centro-Oeste;2;4;0;0;2;1;0
Centro-Oeste;2;4;0;0;9;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;44;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;17;0;0
Centro-Oeste;2;5;0;0;0;0;0
Centro-Oeste;2;5;0;0;1;0;0
Centro-Oeste;2;5;0;0;4;2;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;40;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;1;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;5;0;0;2;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;3;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;2;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;0;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
Centro-Oeste;2;4;0;0;1;0;0
